title,score,members,favorites,episodes,status,genres,season,year
Jujutsu Kaisen,8.51,2983273,95527,24,Finished Airing,"['Action', 'Award Winning', 'Supernatural']",fall,2020
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.54,1756871,13487,1,Finished Airing,"['Action', 'Supernatural']",fall,2020
Haikyuu!! To the Top Part 2,8.56,918587,6479,12,Finished Airing,['Sports'],fall,2020
Tonikaku Kawaii,7.84,829699,10466,12,Finished Airing,"['Comedy', 'Romance']",fall,2020
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.46,674005,1966,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020
Josee to Tora to Sakana-tachi,8.38,521054,7120,1,Finished Airing,"['Drama', 'Romance']",fall,2020
Yuukoku no Moriarty,8.17,502486,8300,11,Finished Airing,"['Mystery', 'Suspense']",fall,2020
Akudama Drive,7.56,486641,4036,12,Finished Airing,"['Action', 'Sci-Fi', 'Suspense']",fall,2020
Majo no Tabitabi,7.56,453534,4385,12,Finished Airing,"['Adventure', 'Fantasy']",fall,2020
Mahouka Koukou no Rettousei: Raihousha-hen,7.26,393129,1251,13,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",fall,2020
Munou na Nana,7.16,374896,1737,13,Finished Airing,['Suspense'],fall,2020
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.71,347890,1476,12,Finished Airing,"['Action', 'Fantasy', 'Romance']",fall,2020
100-man no Inochi no Ue ni Ore wa Tatteiru,6.52,330870,712,12,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020
Noblesse,6.9,325530,1291,13,Finished Airing,"['Action', 'Supernatural']",fall,2020
Higurashi no Naku Koro ni Gou,7.21,301406,1646,24,Finished Airing,"['Horror', 'Mystery', 'Suspense']",fall,2020
Kamisama ni Natta Hi,6.8,283092,1632,12,Finished Airing,['Drama'],fall,2020
Burn the Witch,7.14,281261,746,3,Finished Airing,"['Action', 'Fantasy']",fall,2020
Kami-tachi ni Hirowareta Otoko,6.96,251066,1175,12,Finished Airing,"['Fantasy', 'Slice of Life']",fall,2020
Maoujou de Oyasumi,7.95,246186,2548,12,Finished Airing,"['Comedy', 'Fantasy']",fall,2020
Adachi to Shimamura,7.08,210088,1648,12,Finished Airing,['Girls Love'],fall,2020
Golden Kamuy 3rd Season,8.43,197662,1621,12,Finished Airing,"['Action', 'Adventure']",fall,2020
Kuma Kuma Kuma Bear,7.23,186305,1052,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",fall,2020
Tian Guan Cifu,8.42,174991,6150,11,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020
Hanyou no Yashahime: Sengoku Otogizoushi,6.69,132030,656,24,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020
Ikebukuro West Gate Park,6.87,127991,372,12,Finished Airing,"['Drama', 'Mystery']",fall,2020
Jujutsu Kaisen 0 Movie,8.37,1228946,11100,1,Finished Airing,"['Action', 'Supernatural']",fall,2021
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,1103606,19195,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",fall,2021
"Komi-san wa, Comyushou desu.",7.79,1001249,12286,12,Finished Airing,['Comedy'],fall,2021
Kimetsu no Yaiba: Mugen Ressha-hen,8.34,960207,4652,7,Finished Airing,"['Action', 'Supernatural']",fall,2021
Ousama Ranking,8.48,747821,13752,23,Finished Airing,"['Adventure', 'Fantasy']",fall,2021
86 Part 2,8.72,629902,18302,12,Finished Airing,"['Drama', 'Sci-Fi']",fall,2021
