title,score,members,favorites,episodes,status,genres,season,year,members_norm,favorites_norm,final_score
Jujutsu Kaisen,8.51,2983273,95527,24,Finished Airing,"['Action', 'Award Winning', 'Supernatural']",fall,2020,1.0,1.0,5.506
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.54,1756871,13487,1,Finished Airing,"['Action', 'Supernatural']",fall,2020,0.5802925353520143,0.1406634614377442,5.2901726530536655
Haikyuu!! To the Top Part 2,8.56,918587,6479,12,Finished Airing,['Sports'],fall,2020,0.2934093989130881,0.06725743435041741,5.219440964880834
Tonikaku Kawaii,7.84,829699,10466,12,Finished Airing,"['Comedy', 'Romance']",fall,2020,0.26298955524222806,0.1090196817815207,4.786100341077785
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.46,674005,1966,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020,0.20970691708532396,0.019985545046035887,4.531424561028237
Josee to Tora to Sakana-tachi,8.38,521054,7120,1,Finished Airing,"['Drama', 'Romance']",fall,2020,0.1573630066665754,0.07397165572070515,5.0784365000247496
Yuukoku no Moriarty,8.17,502486,8300,11,Finished Airing,"['Mystery', 'Suspense']",fall,2020,0.15100854197752256,0.0863316888204548,4.952701888817448
Akudama Drive,7.56,486641,4036,12,Finished Airing,"['Action', 'Sci-Fi', 'Suspense']",fall,2020,0.14558596049335396,0.041667975992206896,4.578646686522169
Majo no Tabitabi,7.56,453534,4385,12,Finished Airing,"['Adventure', 'Fantasy']",fall,2020,0.13425586234274683,0.04532361290052268,4.576362507520765
Mahouka Koukou no Rettousei: Raihousha-hen,7.26,393129,1251,13,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",fall,2020,0.11358366073017481,0.012496202955933339,4.386270345625934
Munou na Nana,7.16,374896,1737,13,Finished Airing,['Suspense'],fall,2020,0.10734384197341583,0.01758686065633871,4.3254739895918055
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.71,347890,1476,12,Finished Airing,"['Action', 'Fantasy', 'Romance']",fall,2020,0.09810166869721154,0.014852988928343231,4.052753365513554
100-man no Inochi no Ue ni Ore wa Tatteiru,6.52,330870,712,12,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020,0.09227697088335546,0.00685039122647142,3.936096801404809
Noblesse,6.9,325530,1291,13,Finished Airing,"['Action', 'Supernatural']",fall,2020,0.09044948049992471,0.012915187128806209,4.164549648194302
Higurashi no Naku Koro ni Gou,7.21,301406,1646,24,Finished Airing,"['Horror', 'Mystery', 'Suspense']",fall,2020,0.08219360446811132,0.016633671663052928,4.3490434518664856
Kamisama ni Natta Hi,6.8,283092,1632,12,Finished Airing,['Drama'],fall,2020,0.07592606535160368,0.016487027202547425,4.101454570418283
Burn the Witch,7.14,281261,746,3,Finished Airing,"['Action', 'Fantasy']",fall,2020,0.07529944833061833,0.007206527773413359,4.303905841248667
Kami-tachi ni Hirowareta Otoko,6.96,251066,1175,12,Finished Airing,"['Fantasy', 'Slice of Life']",fall,2020,0.06496591422430904,0.011700133027474887,4.193996498510199
Maoujou de Oyasumi,7.95,246186,2548,12,Finished Airing,"['Comedy', 'Fantasy']",fall,2020,0.06329584810611764,0.02608176476133614,4.78973622674073
Adachi to Shimamura,7.08,210088,1648,12,Finished Airing,['Girls Love'],fall,2020,0.05094215000479117,0.01665462087169657,4.263233730631952
Golden Kamuy 3rd Season,8.43,197662,1621,12,Finished Airing,"['Action', 'Adventure']",fall,2020,0.04668964148334725,0.016371806555007383,5.0721281813540875
Kuma Kuma Kuma Bear,7.23,186305,1052,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",fall,2020,0.04280297326525304,0.010411756695890813,4.350262506820697
Tian Guan Cifu,8.42,174991,6150,11,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020,0.03893102079369208,0.06381128952853805,5.0713044486277035
Hanyou no Yashahime: Sengoku Otogizoushi,6.69,132030,656,24,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020,0.02422862110032717,0.006263813384449402,4.02099672728275
Ikebukuro West Gate Park,6.87,127991,372,12,Finished Airing,"['Drama', 'Mystery']",fall,2020,0.022846367606192932,0.0032890257570520275,4.1282049457651055
Jujutsu Kaisen 0 Movie,8.37,1228946,11100,1,Finished Airing,"['Action', 'Supernatural']",fall,2021,0.39962252399008913,0.11566058092155569,5.139254718135755
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,1103606,19195,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",fall,2021,0.356727833979001,0.2004525029067027,5.285249833930755
"Komi-san wa, Comyushou desu.",7.79,1001249,12286,12,Finished Airing,['Comedy'],fall,2021,0.3216985393765999,0.12808346164723627,4.773637154091236
Kimetsu no Yaiba: Mugen Ressha-hen,8.34,960207,4652,7,Finished Airing,"['Action', 'Supernatural']",fall,2021,0.307652872650614,0.04812033225444909,5.08813126800082
Ousama Ranking,8.48,747821,13752,23,Finished Airing,"['Adventure', 'Fantasy']",fall,2021,0.23496872048295026,0.14343923158302696,5.1682580648581915
86 Part 2,8.72,629902,18302,12,Finished Airing,"['Drama', 'Sci-Fi']",fall,2021,0.19461369454216917,0.19109868124731588,5.30931822582264
