title,score,members,favorites,episodes,status,genres,season,year,members_norm,favorites_norm,final_score
Sousou no Frieren,9.28,1354878,86012,28,Finished Airing,"['Adventure', 'Drama', 'Fantasy']",fall,2023,0.44271981218600703,0.9003341398778661,5.813730074028181
Shingeki no Kyojin: The Final Season,8.78,2260937,53905,16,Finished Airing,"['Action', 'Drama', 'Suspense']",winter,2021,0.7527973607479705,0.5640260189171354,5.540803243024563
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,1094783,33046,13,Finished Airing,"['Comedy', 'Romance']",spring,2022,0.35370836812637746,0.34553624736825567,5.5162575291368325
Jujutsu Kaisen,8.51,2983273,95527,24,Finished Airing,"['Action', 'Award Winning', 'Supernatural']",fall,2020,1.0,1.0,5.506
Bleach: Sennen Kessen-hen,8.98,690298,23064,13,Finished Airing,"['Action', 'Adventure', 'Supernatural']",fall,2022,0.21528281611476913,0.24097874702783104,5.477967516082867
Gintama: The Final,9.05,180884,4637,1,Finished Airing,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",winter,2021,0.04094776252207362,0.04796321318962176,5.447431422608962
Fruits Basket: The Final,8.94,556503,21277,13,Finished Airing,"['Drama', 'Romance', 'Supernatural']",spring,2021,0.16949459966324895,0.22226062910473557,5.439712744281523
Shingeki no Kyojin: The Final Season Part 2,8.77,1535035,32219,12,Finished Airing,"['Action', 'Drama', 'Suspense']",winter,2022,0.5043743412136726,0.3368737495941091,5.438624647742534
One Piece Fan Letter,9.02,146654,2543,1,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024,0.02923334382828435,0.026029391739727032,5.42321274471803
Kusuriya no Hitorigoto,8.85,805604,27072,24,Finished Airing,"['Drama', 'Mystery']",fall,2023,0.254743603783658,0.28296096114969255,5.4161300451183685
